slice_file_name,fsID,salience,fold,classID,class
sound_1.wav,1,1,1,0,ambulance
sound_2.wav,2,1,1,0,ambulance
sound_3.wav,3,1,1,0,ambulance
sound_4.wav,4,1,1,0,ambulance
sound_5.wav,5,1,1,0,ambulance
sound_6.wav,6,1,1,0,ambulance
sound_7.wav,7,1,1,0,ambulance
sound_8.wav,8,1,1,0,ambulance
sound_9.wav,9,1,1,0,ambulance
sound_10.wav,10,1,1,0,ambulance
sound_11.wav,11,1,1,0,ambulance
sound_12.wav,12,1,1,0,ambulance
sound_13.wav,13,1,1,0,ambulance
sound_14.wav,14,1,1,0,ambulance
sound_15.wav,15,1,1,0,ambulance
sound_16.wav,16,1,1,0,ambulance
sound_17.wav,17,1,1,0,ambulance
sound_18.wav,18,1,1,0,ambulance
sound_19.wav,19,1,1,0,ambulance
sound_20.wav,20,1,1,0,ambulance
sound_21.wav,21,1,1,0,ambulance
sound_22.wav,22,1,1,0,ambulance
sound_23.wav,23,1,1,0,ambulance
sound_24.wav,24,1,1,0,ambulance
sound_25.wav,25,1,1,0,ambulance
sound_26.wav,26,1,1,0,ambulance
sound_27.wav,27,1,1,0,ambulance
sound_28.wav,28,1,1,0,ambulance
sound_29.wav,29,1,1,0,ambulance
sound_30.wav,30,1,1,0,ambulance
sound_31.wav,31,1,1,0,ambulance
sound_32.wav,32,1,1,0,ambulance
sound_33.wav,33,1,1,0,ambulance
sound_34.wav,34,1,1,0,ambulance
sound_35.wav,35,1,1,0,ambulance
sound_36.wav,36,1,1,0,ambulance
sound_37.wav,37,1,1,0,ambulance
sound_38.wav,38,1,1,0,ambulance
sound_39.wav,39,1,1,0,ambulance
sound_40.wav,40,1,1,0,ambulance
sound_41.wav,41,1,1,0,ambulance
sound_42.wav,42,1,1,0,ambulance
sound_43.wav,43,1,1,0,ambulance
sound_44.wav,44,1,1,0,ambulance
sound_45.wav,45,1,1,0,ambulance
sound_46.wav,46,1,1,0,ambulance
sound_47.wav,47,1,1,0,ambulance
sound_48.wav,48,1,1,0,ambulance
sound_49.wav,49,1,1,0,ambulance
sound_50.wav,50,1,1,0,ambulance
sound_51.wav,51,1,1,0,ambulance
sound_52.wav,52,1,1,0,ambulance
sound_53.wav,53,1,1,0,ambulance
sound_54.wav,54,1,1,0,ambulance
sound_55.wav,55,1,1,0,ambulance
sound_56.wav,56,1,1,0,ambulance
sound_57.wav,57,1,1,0,ambulance
sound_58.wav,58,1,1,0,ambulance
sound_59.wav,59,1,1,0,ambulance
sound_60.wav,60,1,1,0,ambulance
sound_61.wav,61,1,1,0,ambulance
sound_62.wav,62,1,1,0,ambulance
sound_63.wav,63,1,1,0,ambulance
sound_64.wav,64,1,1,0,ambulance
sound_65.wav,65,1,1,0,ambulance
sound_66.wav,66,1,1,0,ambulance
sound_67.wav,67,1,1,0,ambulance
sound_68.wav,68,1,1,0,ambulance
sound_69.wav,69,1,1,0,ambulance
sound_70.wav,70,1,1,0,ambulance
sound_71.wav,71,1,1,0,ambulance
sound_72.wav,72,1,1,0,ambulance
sound_73.wav,73,1,1,0,ambulance
sound_74.wav,74,1,1,0,ambulance
sound_75.wav,75,1,1,0,ambulance
sound_76.wav,76,1,1,0,ambulance
sound_77.wav,77,1,1,0,ambulance
sound_78.wav,78,1,1,0,ambulance
sound_79.wav,79,1,1,0,ambulance
sound_80.wav,80,1,1,0,ambulance
sound_81.wav,81,1,1,0,ambulance
sound_82.wav,82,1,1,0,ambulance
sound_83.wav,83,1,1,0,ambulance
sound_84.wav,84,1,1,0,ambulance
sound_85.wav,85,1,1,0,ambulance
sound_86.wav,86,1,1,0,ambulance
sound_87.wav,87,1,1,0,ambulance
sound_88.wav,88,1,1,0,ambulance
sound_89.wav,89,1,1,0,ambulance
sound_90.wav,90,1,1,0,ambulance
sound_91.wav,91,1,1,0,ambulance
sound_92.wav,92,1,1,0,ambulance
sound_93.wav,93,1,1,0,ambulance
sound_94.wav,94,1,1,0,ambulance
sound_95.wav,95,1,1,0,ambulance
sound_96.wav,96,1,1,0,ambulance
sound_97.wav,97,1,1,0,ambulance
sound_98.wav,98,1,1,0,ambulance
